"total_pop","county_fips_code","commuters_by_public_transportation","commuters_by_car_truck_van","commuters_by_subway_or_elevated","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","other_race_pop","two_or_more_races_pop","not_hispanic_pop","median_income","median_age","families_with_young_children","high_school_diploma","bachelors_degree","graduate_professional_degree","bachelors_degree_or_higher_25_64","confirmed_cases","deaths","total_population","area_sqmi","population_density_per_sqmi","percent_below_poverty","percent_unemployed_CDC","eightieth_percentile_income","twentieth_percentile_income","income_ratio","stay_at_home_announced","stay_at_home_effective","date_stay_at_home_announced","percent_fair_or_poor_health","percent_smokers","percent_adults_with_obesity","percent_physically_inactive","percent_with_access_to_exercise_opportunities","percent_excessive_drinking","percent_adults_with_diabetes","percent_vaccinated","date","lat","lon"
10822,48127,15,3347,0,1429,6,21,9362,0,0,4,1460,31384,33.5,1237,1369,400,261,438,904,13,10842,1328.88407401723,8.15872521312151,23.3,12.8,82600,13231,6.2429143678,"yes","yes","2020-03-31",34.340910676,17.068464543,32.5,30.2,67.647058824,14.332915345,5.4,33,2020-04-11,28.4225923676025,-99.7566563901681
9871,48369,40,3912,14,3468,161,22,6161,14,0,45,3710,50410,34.1,867,1838,747,230,760,1113,32,9921,880.819184125402,11.2633786579602,16.8,3,102907,26091,3.944156989,"yes","yes","2020-03-31",23.954149756,14.769685464,40.2,30.9,74.457103905,17.645029454,9,31,2020-04-19,34.5300792775006,-102.784482672251
21839,48489,0,5872,0,2415,142,22,19208,2,0,47,2631,29104,33.4,1572,3998,930,300,1000,1970,69,21944,590.586224238554,37.1563018224689,37.2,13.4,71222,11610,6.1345391904,"no","no","2020-03-31",37.482950081,18.972376919,40.3,28.5,33.514050782,15.682124792,24,53,2020-03-27,26.4685292883092,-97.6702232173037
3495,48295,0,1510,0,2308,13,25,1046,24,2,76,2449,59583,35,330,690,314,112,320,248,10,3507,932.176572543562,3.76216277398037,10.4,5.8,106091,25532,4.1552169826,"yes","yes","2020-03-31",17.45795832,13.919322732,28.1,28.1,0.5148394912,19.097776287,5.7,29,2020-04-28,36.2776454873755,-100.273151729792
27358,48185,0,9649,0,16051,4259,28,6468,71,13,468,20890,49745,40.4,1788,5056,1703,874,1689,1889,52,27140,787.470097016652,34.4648007623661,20.3,5.9,104392,19942,5.2347808645,"no","no","2020-03-31",20.608906001,16.58932446,36.9,35.7,39.715832206,17.807869126,14.6,47,2020-03-25,30.5434861801344,-95.9855192967837
10369,48077,0,3910,0,9370,56,29,587,126,0,201,9782,46863,46,534,2386,953,379,931,874,13,10367,1088.72561610502,9.52214207753148,15.4,6.7,101524,23722,4.2797403254,"yes","no","2020-03-31",16.382639106,14.894115404,31.8,33,18.526785714,19.234673903,15.6,45,2020-04-01,33.7855133644595,-98.2085217216812
25939,48171,59,10047,0,19614,20,31,5849,3,0,422,20090,56267,50.2,1364,5080,4621,1734,3622,1830,32,25732,1058.21141635542,24.3165019789934,10.8,5.9,112568,24792,4.5404969345,"yes","yes","2020-03-31",16.826731912,12.446428243,28.9,29.7,70.902282884,16.451259593,3.9,51,2020-04-02,30.3180471985844,-98.9465806571396
6033,48065,4,2703,0,5215,39,32,586,23,0,125,5447,67010,41.1,429,992,753,432,875,331,11,6027,920.219965808398,6.54952101012651,5.9,2.2,126208,27792,4.5411629246,"yes","yes","2020-03-31",13.092575899,12.556451868,27.6,23.5,72.403752831,20.559440704,8,44,2020-04-18,35.4035008286227,-101.354213001519
17289,48145,64,5111,19,8909,4196,32,3939,39,0,158,13350,38834,39.2,1210,3905,1148,298,902,1308,22,17265,765.484123262384,22.5543541339813,24.3,6.2,78114,12433,6.2827957854,"no","no","2020-03-31",23.1299135,17.621546435,39.6,35.4,44.688234636,16.366978668,15.5,34,2020-03-24,31.2532868359396,-96.9358757606739
11498,48475,0,4341,0,4758,553,32,6001,64,15,75,5497,63333,33.6,885,2077,669,306,715,953,13,11396,835.602368865078,13.6380656932294,16.6,5.2,105464,21561,4.891424331,"yes","yes","2020-03-31",20.966641957,14.068025582,42.2,30.6,81.900919497,18.322799968,21.7,19,2020-05-23,31.5094967041788,-103.102509617058
